"source_code_set","source_category","source_domain","source_code","source_concept_id","source_vocabulary_id","source_description","source_description_synonym","relationship_id","predicate_id","confidence","target_concept_id","target_concept_name","target_vocabulary_id","target_domain_id","author_label","reviewer_label","reviewer_comments","mapping_justification","mapping_tool","mapping_tool_version"
"HPO","HPO","Observation","HP_0012797","37429739","HPO","Lymphatic vessel neoplasm","Lymphatic vessel tumor | Lymphatic vessel tumour","Maps to","skos:exactMatch","1","4019106","Lymphatic vessel tumor","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012795","37429737","HPO","Abnormal optic disc morphology","","Maps to","skos:exactMatch","1","4134605","Optic disc disorder","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012789","37429731","HPO","Hypoplasia of the calcaneus","Hypoplastic calcaneus | Small heel bone | Underdeveloped heel bone","Maps to","skos:exactMatch","1","4244175","Congenital hypoplasia of calcaneus","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012786","37429728","HPO","Recurrent cystitis","Recurrent bladder infections","Maps to","skos:exactMatch","1","4056612","Recurrent cystitis","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012784","37429726","HPO","Perinephritis","","Maps to","skos:exactMatch","1","4006319","Perinephritis","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012783","37429725","HPO","Intralobar nephrogenic rest","Intralobar nephrogenic rests","Maps to","skos:exactMatch","1","4226400","Nephrogenic rest, intralobar","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012782","37429724","HPO","Perilobar nephrogenic rest","Perilobar nephrogenic rests","Maps to","skos:exactMatch","1","4237164","Nephrogenic rest, perilobar","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012781","37429723","HPO","Mid-frequency hearing loss","","Maps to","skos:exactMatch","1","4321249","Mid frequency deafness","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012778","37429721","HPO","Retinal astrocytic hamartoma","","Maps to","skos:exactMatch","1","4111009","Astrocytoma of retina","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012777","37429720","HPO","Retinal neoplasm","","Maps to","skos:exactMatch","1","4131904","Neoplasm of retina","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012776","37429719","HPO","Abnormal ciliary body morphology","Abnormality of the ciliary body","Maps to","skos:exactMatch","1","442770","Disorder of ciliary body","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012768","37429711","HPO","Neonatal asphyxia","Asphyxia neonatorum","Maps to","skos:exactMatch","1","439136","Asphyxia in liveborn infant","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012764","37429707","HPO","Orthopnea","","Maps to","skos:exactMatch","1","315361","Orthopnea","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012763","37429706","HPO","Paroxysmal dyspnea","Paroxysmal dyspnoea","Maps to","skos:exactMatch","1","4244276","Paroxysmal dyspnea","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012759","37429702","HPO","Neurodevelopmental abnormality","","Maps to","skos:exactMatch","1","45771096","Neurodevelopmental disorder","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
