ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
"2061502258","36946006","1","1"
"4241214","2061506066","1","1"
"3012888","2061500715","1","1"
"4234651","2061501268","1","1"
"36878782","2062506476","1","1"
"992956","2062502742","1","1"
"4159405","2061501607","1","1"
"715233","2062500579","1","1"
"439237","2061500969","1","1"
"4005027","2061505853","1","1"
"2061500584","3036593","1","1"
"2061502071","40048837","1","1"
"2061500752","42527127","1","1"
"45775208","2062501259","1","1"
"1636780","2062503706","1","1"
"19124906","2062500834","1","1"
"4159406","2061501541","1","1"
"4293873","2061505921","1","1"
"4225856","2061502132","1","1"
"2061501951","40757262","1","1"
"21493955","2061500858","1","1"
"722048","2061502232","1","1"
"2061500848","21490833","1","1"
"3044016","2061500792","1","1"
"2061500445","42482699","1","1"
"4234653","2061500810","1","1"
"1759196","2062504529","1","1"
"3045676","2061500586","1","1"
"722044","2061502235","1","1"
"21125875","2062501218","1","1"
"45775208","2062502801","1","1"
"722042","2061502229","1","1"
"21145611","2062503621","1","1"
"2061501327","40160705","1","1"
"46276342","2061502214","1","1"
"44791688","2061500899","1","1"
"19024227","2062501082","1","1"
"4044710","2061502022","1","1"
"4159405","2061501623","1","1"
"2061500494","589123","1","1"
"2061500662","1988543","1","1"
"45775207","2062503688","1","1"
"4011079","2061502012","1","1"
"19132965","2062502799","1","1"
"43055002","2061500680","1","1"
"36118947","2062504531","1","1"
"2061501001","46275132","1","1"
"4189544","2061501214","1","1"
"4018587","2061505823","1","1"
"21125875","2062504199","1","1"
"44817051","2061501755","1","1"
"44790745","2062498045","1","1"
"2061502270","46275132","1","1"
"42903899","2062504014","1","1"
"44791204","2062498015","1","1"
"4308797","2061500834","1","1"
"760568","2061500940","1","1"
"2061502256","41238392","1","1"
"985247","2062502716","1","1"
"40213158","2062507556","1","1"
"9201","2062495448","1","1"
"45766147","2061501112","1","1"
"760568","2061500783","1","1"
"2061501458","1988205","1","1"
"2061505837","2213276","1","1"
"4190104","2061500655","1","1"
"1135766","2061502206","1","1"
"2061502240","36946006","1","1"
"36878782","2062502935","1","1"
"9201","2062495423","1","1"
"1398937","2062500579","1","1"
"21125875","2062503650","1","1"
"2061505896","4039363","1","1"
"1988072","2061501774","1","1"
"4269442","2061502284","1","1"
"36854629","2062502232","1","1"
"21490871","2061500794","1","1"
"2061500819","4064992","1","1"
"2061506283","4002737","1","1"
"21125875","2062503632","1","1"
"36850094","2062502198","1","1"
"4099154","2061501580","1","1"
"2061501327","36891576","1","1"
"40213158","2062507945","1","1"
"4159405","2061501592","1","1"
"4269442","2061501100","1","1"
"44791205","2062498059","1","1"
"3034488","2061502004","1","1"
